time,close,EMA 1,EMA 2,EMA 3,EMA 4,EMA 5,Upper ATR 3,Lower ATR 3,RSI Stoch,RSI
2022-11-17T21:00:00+01:00,16672.5,16618.48141,16597.67702,16610.6231,16634.01693,16721.94415,16943.16844,16252.1856,82.74828026,55.54395361
2022-11-17T22:00:00+01:00,16661.5,16628.0411,16603.47911,16613.53035,16634.99847,16720.74724,16937.89971,16269.05851,77.21805772,54.59142129
2022-11-17T23:00:00+01:00,16690,16641.80974,16611.34465,16617.90004,16636.96281,16720.13838,16943.52092,16279.16837,89.91022849,56.66499119
2022-11-18T00:00:00+01:00,16688.5,16652.18536,16618.35877,16621.93433,16638.80342,16719.51188,16939.87959,16296.83794,92.00426082,56.51870476
2022-11-18T01:00:00+01:00,16941,16716.36639,16647.68979,16640.16665,16649.59616,16723.89778,17007.10199,16288.27759,97.53448336,70.38054956
2022-11-18T02:00:00+01:00,16880.5,16752.84052,16668.85435,16653.89999,16657.84272,16726.99882,17035.48711,16302.2216,92.40366901,65.03099485
2022-11-18T03:00:00+01:00,16899.5,16785.43152,16689.82214,16667.93427,16666.47334,16730.41468,17059.19541,16320.44887,88.60391188,65.90740608
2022-11-18T04:00:00+01:00,16844.5,16798.55785,16703.88376,16678.02374,16672.83143,16732.6738,17064.98037,16342.78716,77.74992035,61.13121741
2022-11-18T05:00:00+01:00,16797.5,16798.32277,16712.39433,16684.85096,16677.28388,16733.95749,17066.66261,16358.12605,67.00012259,57.30920997
2022-11-18T06:00:00+01:00,16795,16797.58438,16719.90394,16691.14519,16681.48803,16735.16625,17063.0102,16376.79768,49.63897985,57.10469405
2022-11-18T07:00:00+01:00,16788.5,16795.56563,16726.13994,16696.70832,16685.30989,16736.22236,17062.41718,16389.8627,36.98252953,56.53973817
2022-11-18T08:00:00+01:00,16745.5,16784.43993,16727.89995,16699.49642,16687.45953,16736.40608,17056.4431,16399.3568,24.1048503,52.81705013
2022-11-18T09:00:00+01:00,16731,16772.56439,16728.18177,16701.29662,16689.01455,16736.29903,17050.29327,16406.07027,14.72665231,51.58366342
2022-11-18T10:00:00+01:00,16733.5,16763.88342,16728.66525,16703.13681,16690.60332,16736.2436,17037.41164,16419.91885,5.274430938,51.79268674
2022-11-18T11:00:00+01:00,16761,16763.24266,16731.60477,16706.44328,16693.11748,16736.73383,17046.58356,16416.62598,6.305025839,54.13816602
2022-11-18T12:00:00+01:00,16750.5,16760.41096,16733.32252,16708.96081,16695.16686,16737.00642,17043.26711,16423.37792,7.547676293,53.07632186
