Dates,10y_2y_bonds_spread,dxy,interest_rates,vix,gdp,pmi,unemployment_rate,cpi,m2(in billions),btc_price
2021-01-29,1.0,90.584,0.25,33.09,-0.4644444444444442,60.68709677419355,6.219354838709678,1.6709677419354838,19591.42258064516,34257.6675
2021-01-30,0.9933333333333333,90.78200000000001,0.25,32.14,-0.4333333333333331,60.75806451612903,6.212903225806452,1.6806451612903226,19599.248387096777,34321.5575
2021-01-31,0.9866666666666667,90.98,0.25,31.19,-0.40222222222222204,60.829032258064515,6.206451612903226,1.6903225806451614,19607.07419354839,33138.715
2021-02-01,0.98,91.08850000000001,0.25,30.24,-0.37111111111111095,60.9,6.2,1.7,19614.9,33538.6675
2021-02-02,1.01,91.197,0.25,25.56,-0.33999999999999986,61.0,6.192857142857143,1.7321428571428572,19623.428571428572,35514.35
2021-02-03,1.04,91.171,0.25,22.91,-0.30888888888888877,61.1,6.185714285714286,1.7642857142857142,19631.957142857143,37688.8725
2021-02-04,1.04,91.529,0.25,21.77,-0.2777777777777777,61.199999999999996,6.178571428571429,1.7964285714285715,19640.485714285714,36987.58
2021-02-05,1.1,91.042,0.25,20.87,-0.2466666666666666,61.3,6.171428571428572,1.8285714285714285,19649.014285714286,38309.9425
2021-02-06,1.0933333333333335,90.988,0.25,20.993333333333332,-0.2155555555555555,61.4,6.164285714285715,1.8607142857142858,19657.54285714286,39273.03
2021-02-07,1.0866666666666667,90.934,0.25,21.116666666666667,-0.1844444444444444,61.5,6.1571428571428575,1.8928571428571428,19666.07142857143,38868.57
2021-02-08,1.08,90.6865,0.25,21.24,-0.15333333333333332,61.6,6.15,1.925,19674.600000000002,46431.245
2021-02-09,1.07,90.439,0.25,21.63,-0.12222222222222223,61.7,6.142857142857143,1.957142857142857,19683.128571428573,46507.4325
2021-02-10,1.04,90.371,0.25,21.99,-0.09111111111111114,61.8,6.135714285714286,1.9892857142857143,19691.657142857144,44851.2175
